x,y,z
-0.7851738502750166,-32.32815681739407,3.1872087187699334
-0.07169223659789598,-32.32076572084829,3.2257131115869195
0.64107696394196,-32.29743621111045,3.264128477326186
1.352773547597077,-32.2581968302393,3.3024537557546516
2.0630382526962983,-32.20308435363814,3.3406878891255727
2.771512949969606,-32.13214376139609,3.3788298222077344
3.4778408320367173,-32.045428205179675,3.4168785023145736
4.181666601954413,-31.942998970698767,3.4548328793332423
4.882636660718014,-31.824925435772865,3.4926919057535732
5.5803992936132145,-31.691285024026932,3.5304545366969977
6.2746048553150375,-31.542163154247785,3.5681197299453946
6.964905953632367,-31.377653185435,3.6056864459698343
7.650957631795598,-31.19785635758257,3.6431536479592865
8.332417549188639,-31.002881728229703,3.680520301849217
9.00894616042463,-30.792846104821997,3.7177853763501485
9.680206892667801,-30.567873972926325,3.7549478429761094
10.345866321104591,-30.328097420344903,3.792006676073022
11.00559434246793,-30.073656057176734,3.828960852847012
11.659064346519823,-29.80469693187662,3.865809353392633
12.305953385399476,-29.521374443364124,3.9025511607210186
12.945942340744514,-29.223850249237373,3.9391852607879487
13.57871608849524,-28.91229317014823,3.975710642521837
14.203963661292635,-28.586879090397975,4.012126297851634
14.821378408382296,-28.24779085481467,4.048431221734653
15.430658152938804,-27.895218161974995,4.084624412184303
16.03150534672565,-27.529357453836017,4.120704870297748
16.62362722200849,-27.15041180184364,4.15667160028347
17.20673594064055,-26.75859078958683,4.1925236094887595
17.780548740240278,-26.354110392068815,4.228259908427107
18.344788077384894,-25.937192851667476,4.263879510805511
18.899181767743407,-25.508066550859663,4.2993814335517015
19.443463123075436,-25.06696588178586,4.334764696841271
19.977371085024213,-24.61413111273284,4.370028324124721
20.50065035563366,-24.149808251614207,4.405171342154407
21.01305152452185,-23.67424890652968,4.440192781011402
21.514331192645002,-23.187710143486044,4.4750916741322655
22.004252092587887,-22.69045434136411,4.509867058335724
22.482583205319195,-22.18274904421729,4.544517973849246
22.949099873352502,-21.66486681098863,4.579043464335538
23.40358391025527,-21.13708506273485,4.613442576918937
23.84582370645037,-20.599685927447464,4.647714362211705
24.275614331257742,-20.052956082561195,4.681857874340236
24.692757631125296,-19.497186595242123,4.715872170971159
25.097062324000284,-18.93267276054902,4.7497563133373495
25.48834408979552,-18.359713937561576,4.783509366263832
25.866425656906205,-17.77861338357134,4.817130398193595
26.231136884736344,-17.189678086431048,4.8506184812133
26.58231484219543,-16.593218595159655,4.883972691078891
26.919803882128516,-15.98954884890122,4.917192107241102
27.243455711645872,-15.378986004335852,4.950275812870868
27.5531294583198,-14.76185026164254,4.98322289488462
27.848691732219745,-14.138464689113455,5.016032443969494
28.130016683758317,-13.50915504652052,5.048703554608423
28.396986057323726,-12.874249607335644,5.081235325105126
28.64948924067677,-12.234078979905727,5.113626857609007
28.887423310092608,-11.58897592768495,5.145877258139914
29.110693071230322,-10.939275188626134,5.177985636612832
29.319211095715715,-10.285313293834086,5.209951106862434
29.512897753424934,-9.627428385584004,5.241772786667548
29.691681240459673,-8.965960034807438,5.273449797775501
29.85549760280649,-8.301249058149418,5.304981265926361
30.004290755675928,-7.633637334699359,5.336366320877061
30.138012498518997,-6.963467622499043,5.367604096425423
30.256622525721497,-6.29108337493125,5.3986937304340605
30.360088432978976,-5.616828557090959,5.429634364854174
30.448385719357734,-4.941047462242293,5.460425145749232
30.52149778504939,-4.2640845284638065,5.4910652233185395
